label,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93
0,0.24,0.47,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.16,0.28,0.16,0.15,0.08,0.04,0.09,0.33,0.40,0.17,0.02,0.01,0.00,0.00,0.00,0.00,-1.17,9.57,0.41,35.27,50.26,37.31,1.59,3.30,1.61,0.14,0.28,0.16,0.38,0.53,0.40,0.35,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.59,0.59,0.37,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.50,0.50,0.49,0.49,0.48,-0.55,0.05,0.12,-0.25,0.16,-0.11,10.05,1600
0,0.28,0.44,0.27,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.19,0.22,0.22,0.16,0.08,0.02,0.08,0.36,0.37,0.20,0.00,0.01,0.00,0.00,0.00,0.00,-1.50,9.57,0.43,37.60,51.58,39.00,1.78,3.33,1.68,0.16,0.29,0.16,0.40,0.54,0.40,0.37,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.50,0.50,0.49,0.49,0.46,0.65,0.65,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.61,0.61,0.60,0.36,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.49,0.49,0.49,0.48,0.47,-0.63,0.07,0.16,-0.39,0.22,-0.03,10.12,1600
0,0.32,0.43,0.25,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.17,0.25,0.20,0.16,0.07,0.01,0.09,0.33,0.41,0.16,0.03,0.00,0.00,0.00,0.00,0.00,-1.69,9.39,0.47,36.60,49.23,38.20,1.71,3.14,1.69,0.16,0.27,0.16,0.40,0.52,0.40,0.36,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.49,0.49,0.48,0.47,0.45,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.36,0.52,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.49,0.49,0.48,0.48,-0.66,0.09,0.16,-0.33,0.27,-0.08,9.98,1600
0,0.32,0.50,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.19,0.21,0.20,0.18,0.07,0.02,0.07,0.34,0.41,0.14,0.04,0.00,0.00,0.00,0.00,0.00,-1.75,9.54,0.50,35.45,47.50,36.15,1.62,3.33,1.58,0.14,0.28,0.15,0.38,0.53,0.39,0.35,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.36,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.49,0.49,0.48,0.47,-0.71,0.00,0.21,-0.36,0.20,0.02,10.11,1600
0,0.22,0.46,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.20,0.21,0.26,0.18,0.05,0.01,0.07,0.28,0.51,0.13,0.02,0.01,0.00,0.00,0.00,0.00,-1.08,9.64,0.62,35.93,51.35,35.45,1.49,3.01,1.46,0.13,0.26,0.14,0.36,0.51,0.37,0.35,0.50,0.50,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.46,0.44,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.59,0.59,0.58,0.35,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,-0.53,0.05,0.28,-0.22,0.24,-0.01,10.05,1600
0,0.30,0.48,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.17,0.25,0.18,0.19,0.06,0.02,0.10,0.35,0.42,0.11,0.03,0.00,0.00,0.00,0.00,0.00,-1.59,9.56,0.29,37.69,49.49,37.31,1.69,3.18,1.59,0.15,0.27,0.16,0.39,0.52,0.39,0.37,0.52,0.52,0.51,0.51,0.51,0.51,0.50,0.50,0.49,0.49,0.48,0.48,0.45,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.60,0.60,0.59,0.36,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.47,-0.64,0.11,0.08,-0.30,0.24,-0.12,10.12,1600
0,0.34,0.48,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.17,0.22,0.22,0.19,0.04,0.03,0.10,0.39,0.37,0.14,0.01,0.01,0.00,0.00,0.00,0.00,-1.83,9.57,0.29,37.50,50.79,34.21,1.65,3.23,1.63,0.15,0.28,0.15,0.38,0.53,0.39,0.35,0.50,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.59,0.59,0.35,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,-0.69,0.12,0.12,-0.29,0.28,0.00,10.14,1600
0,0.31,0.56,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.20,0.22,0.23,0.22,0.03,0.01,0.08,0.39,0.39,0.12,0.03,0.01,0.00,0.00,0.00,0.00,-1.90,9.54,0.37,36.98,50.28,40.85,1.55,3.03,1.68,0.14,0.25,0.16,0.37,0.50,0.40,0.35,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.58,0.58,0.36,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,-0.72,-0.02,0.16,-0.30,0.13,0.01,10.13,1600
0,0.37,0.50,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.20,0.23,0.21,0.19,0.05,0.02,0.08,0.37,0.41,0.13,0.03,0.00,0.00,0.00,0.00,0.00,-1.90,9.54,0.39,36.23,48.97,41.04,1.48,3.10,1.57,0.13,0.26,0.15,0.36,0.51,0.39,0.34,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.45,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.60,0.60,0.59,0.58,0.35,0.50,0.50,0.50,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,-0.76,0.07,0.19,-0.34,0.29,0.06,10.09,1600
0,0.35,0.52,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.19,0.24,0.24,0.19,0.04,0.01,0.06,0.40,0.43,0.10,0.02,0.00,0.00,0.00,0.00,0.00,-1.93,9.59,0.43,35.93,42.79,36.60,1.66,2.85,1.50,0.15,0.24,0.13,0.39,0.49,0.37,0.38,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.50,0.50,0.49,0.44,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.34,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,-0.70,-0.06,0.23,-0.28,0.12,0.07,10.16,1600
